Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
269,Mr. Peabody & Sherman,275698039,111506430,164191609,2014.csv,2014,40.445129898076644,59.55487010192336
270,Lincoln,275293450,182207973,93085477,2012.csv,2012,66.18681737614898,33.81318262385102
271,Tomb Raider,274650803,58250803,216400000,2018.csv,2018,21.209041577060308,78.7909584229397
272,Cloudy with a Chance of Meatballs 2,274325949,119793567,154532382,2013.csv,2013,43.66833230202368,56.331667697976314
273,Neighbors,270665134,150157400,120507734,2014.csv,2014,55.47718606416444,44.522813935835565
274,We're the Millers,269994119,150394119,119600000,2012.csv,2012,55.702738843730145,44.297261156269855
275,Epic,268426634,107518682,160907952,2013.csv,2013,40.05514668861064,59.94485331138936
276,Exodus: Gods and Kings,268175631,65014513,203161118,2014.csv,2014,24.243259075243863,75.75674092475614
277,Terminator: Dark Fate,261119292,62253077,198866215,2019.csv,2019,23.840856998034447,76.15914300196556
278,The Lone Ranger,260502115,89302115,171200000,2013.csv,2013,34.280763900899615,65.71923609910039
279,Super 8,260095986,127004179,133091807,2011.csv,2011,48.82973434276683,51.17026565723317
